2023-08-26-17:30:23.581474 Motor1@1.399629 Motor2@-2.693 ImgX@403 ImgY@299 F@270.0 Strain@0.5156
2023-08-26-17:30:23.615478 Motor1@1.399629 Motor2@-2.515 ImgX@404 ImgY@299 F@267.0 Strain@0.48100000000000004
2023-08-26-17:30:23.645346 Motor1@1.399629 Motor2@-2.264 ImgX@404 ImgY@299 F@267.0 Strain@0.43079999999999996
2023-08-26-17:30:23.676220 Motor1@1.399629 Motor2@-2.193 ImgX@421 ImgY@299 F@216.0 Strain@0.43360000000000004
2023-08-26-17:30:23.706170 Motor1@1.399629 Motor2@-2.006 ImgX@421 ImgY@299 F@216.0 Strain@0.3962
2023-08-26-17:30:23.740231 Motor1@1.399629 Motor2@-1.861 ImgX@437 ImgY@300 F@168.0 Strain@0.38320000000000004
2023-08-26-17:30:23.771065 Motor1@1.399629 Motor2@-1.522 ImgX@437 ImgY@300 F@168.0 Strain@0.3154
2023-08-26-17:30:23.799888 Motor1@1.399629 Motor2@-1.522 ImgX@450 ImgY@301 F@129.0 Strain@0.32839999999999997
2023-08-26-17:30:23.830806 Motor1@1.399629 Motor2@-1.398 ImgX@450 ImgY@301 F@129.0 Strain@0.3036
2023-08-26-17:30:23.864717 Motor1@1.399629 Motor2@-1.241 ImgX@464 ImgY@302 F@87.0 Strain@0.2862
2023-08-26-17:30:23.892684 Motor1@1.399629 Motor2@-1.087 ImgX@464 ImgY@302 F@87.0 Strain@0.25539999999999996
2023-08-26-17:30:23.927549 Motor1@1.399629 Motor2@-0.940 ImgX@477 ImgY@303 F@48.0 Strain@0.23899999999999996
2023-08-26-17:30:23.957468 Motor1@1.399629 Motor2@-0.630 ImgX@477 ImgY@303 F@48.0 Strain@0.17700000000000002
2023-08-26-17:30:23.989411 Motor1@1.399629 Motor2@-0.537 ImgX@483 ImgY@303 F@30.0 Strain@0.16440000000000002
2023-08-26-17:30:24.019302 Motor1@1.399629 Motor2@-0.499 ImgX@483 ImgY@303 F@30.0 Strain@0.1568
2023-08-26-17:30:24.053250 Motor1@1.399629 Motor2@-0.300 ImgX@495 ImgY@304 F@-6.0 Strain@0.129
