2023-07-31-17:23:03.527872 Motor1@0.0 Motor2@-3.45 ImgX@424 ImgY@233 F@2880.0 Strain@0.11090000000000003
2023-07-31-17:23:03.584718 Motor1@0.0 Motor2@-3.453 ImgX@424 ImgY@233 F@2880.0 Strain@0.1112
2023-07-31-17:23:03.645214 Motor1@0.0 Motor2@-3.453 ImgX@424 ImgY@233 F@2880.0 Strain@0.1112
2023-07-31-17:23:03.723007 Motor1@0.0 Motor2@-3.453 ImgX@424 ImgY@233 F@2880.0 Strain@0.1112
2023-07-31-17:23:03.773872 Motor1@0.0 Motor2@-3.457 ImgX@424 ImgY@233 F@2880.0 Strain@0.11159999999999999
2023-07-31-17:23:03.833709 Motor1@0.0 Motor2@-3.457 ImgX@424 ImgY@233 F@2880.0 Strain@0.11159999999999999
2023-07-31-17:23:03.895544 Motor1@0.0 Motor2@-3.457 ImgX@424 ImgY@233 F@2880.0 Strain@0.11159999999999999
2023-07-31-17:23:03.957379 Motor1@0.0 Motor2@-3.458 ImgX@424 ImgY@233 F@2880.0 Strain@0.11170000000000002
2023-07-31-17:23:04.094014 Motor1@0.0 Motor2@-3.46 ImgX@424 ImgY@233 F@2880.0 Strain@0.1119
