2023-06-21-17:10:07.012794 Motor1-0.0 Motor2-1.013 ImgX-457 ImgY-277 F-4416.0 Strain-?
2023-06-21-17:10:07.067645 Motor1-0.0 Motor2-1.327 ImgX-498 ImgY-277 F-2448.0 Strain-?
2023-06-21-17:10:07.130477 Motor1-0.0 Motor2-1.521 ImgX-503 ImgY-277 F-2208.0 Strain-?
2023-06-21-17:10:07.192313 Motor1-0.0 Motor2-1.881 ImgX-535 ImgY-277 F-672.0 Strain-?
2023-06-21-17:10:07.256140 Motor1-0.0 Motor2-2.24 ImgX-549 ImgY-277 F-0.0 Strain-?
2023-06-21-17:10:07.318978 Motor1-0.0 Motor2-2.505 ImgX-550 ImgY-278 F--48.0 Strain-?
2023-06-21-17:10:07.378635 Motor1-0.0 Motor2-2.73 ImgX-551 ImgY-277 F--96.0 Strain-?
2023-06-21-17:10:07.442002 Motor1-0.0 Motor2-2.861 ImgX-551 ImgY-278 F--96.0 Strain-?
2023-06-21-17:10:07.513810 Motor1-0.0 Motor2-2.908 ImgX-552 ImgY-278 F--144.0 Strain-?
2023-06-21-17:10:07.572656 Motor1-0.0 Motor2-2.906 ImgX-552 ImgY-278 F--144.0 Strain-?
2023-06-21-17:10:07.630499 Motor1-0.0 Motor2-2.81 ImgX-551 ImgY-277 F--96.0 Strain-?
2023-06-21-17:10:07.695326 Motor1-0.0 Motor2-2.696 ImgX-551 ImgY-278 F--96.0 Strain-?
2023-06-21-17:10:07.756163 Motor1-0.0 Motor2-2.406 ImgX-551 ImgY-278 F--96.0 Strain-?
2023-06-21-17:10:07.817997 Motor1-0.0 Motor2-2.359 ImgX-551 ImgY-278 F--96.0 Strain-?
2023-06-21-17:10:07.895798 Motor1-0.0 Motor2-1.958 ImgX-550 ImgY-278 F--48.0 Strain-?
2023-06-21-17:10:07.946662 Motor1-0.0 Motor2-1.536 ImgX-543 ImgY-278 F-288.0 Strain-?
2023-06-21-17:10:08.013475 Motor1-0.0 Motor2-1.319 ImgX-533 ImgY-278 F-768.0 Strain-?
2023-06-21-17:10:08.068327 Motor1-0.0 Motor2-0.868 ImgX-500 ImgY-279 F-2352.0 Strain-?
2023-06-21-17:10:08.132160 Motor1-0.0 Motor2-0.787 ImgX-469 ImgY-277 F-3840.0 Strain-?
2023-06-21-17:10:08.202968 Motor1-0.0 Motor2-0.469 ImgX-424 ImgY-277 F-6000.0 Strain-?
2023-06-21-17:10:08.256825 Motor1-0.0 Motor2-0.365 ImgX-426 ImgY-278 F-5904.0 Strain-?
2023-06-21-17:10:08.317661 Motor1-0.0 Motor2-0.195 ImgX-415 ImgY-277 F-6432.0 Strain-?
2023-06-21-17:10:08.380653 Motor1-0.0 Motor2-0.109 ImgX-400 ImgY-277 F-7152.0 Strain-?
2023-06-21-17:10:08.442429 Motor1-0.0 Motor2-0.08 ImgX-395 ImgY-277 F-7392.0 Strain-?
2023-06-21-17:10:08.507574 Motor1-0.0 Motor2-0.08 ImgX-397 ImgY-278 F-7296.0 Strain-?
2023-06-21-17:10:08.568410 Motor1-0.0 Motor2-0.202 ImgX-398 ImgY-278 F-7248.0 Strain-?
2023-06-21-17:10:08.631125 Motor1-0.0 Motor2-0.326 ImgX-396 ImgY-278 F-7344.0 Strain-?
2023-06-21-17:10:08.694953 Motor1-0.0 Motor2-0.631 ImgX-399 ImgY-278 F-7200.0 Strain-?
2023-06-21-17:10:08.755438 Motor1-0.0 Motor2-1.028 ImgX-441 ImgY-277 F-5184.0 Strain-?
2023-06-21-17:10:08.820424 Motor1-0.0 Motor2-1.325 ImgX-504 ImgY-277 F-2160.0 Strain-?
