1.8881 Motor1@0.0 Motor2@0.358 ImgX@377 ImgY@304 F@960.0 Strain@0.0456
1.9174 Motor1@0.0 Motor2@0.355 ImgX@377 ImgY@304 F@960.0 Strain@0.0459
1.9491 Motor1@0.0 Motor2@0.352 ImgX@377 ImgY@304 F@960.0 Strain@0.046200000000000005
1.9819 Motor1@0.0 Motor2@0.347 ImgX@375 ImgY@303 F@1080.0 Strain@0.045700000000000005
2.0126 Motor1@0.0 Motor2@0.341 ImgX@375 ImgY@303 F@1080.0 Strain@0.046299999999999994
2.0444 Motor1@0.0 Motor2@0.341 ImgX@374 ImgY@304 F@1140.0 Strain@0.045799999999999993
2.0748 Motor1@0.0 Motor2@0.335 ImgX@374 ImgY@304 F@1140.0 Strain@0.0464
2.1058 Motor1@0.0 Motor2@0.334 ImgX@374 ImgY@304 F@1140.0 Strain@0.04650000000000001
2.1380 Motor1@0.0 Motor2@0.331 ImgX@374 ImgY@304 F@1140.0 Strain@0.046799999999999994
2.1707 Motor1@0.0 Motor2@0.330 ImgX@374 ImgY@304 F@1140.0 Strain@0.04690000000000001
2.1990 Motor1@0.0 Motor2@0.328 ImgX@374 ImgY@304 F@1140.0 Strain@0.04710000000000001
2.2318 Motor1@0.0 Motor2@0.324 ImgX@373 ImgY@304 F@1200.0 Strain@0.04700000000000001
2.2625 Motor1@0.0 Motor2@0.322 ImgX@373 ImgY@304 F@1200.0 Strain@0.047200000000000006
2.2957 Motor1@0.0 Motor2@0.318 ImgX@372 ImgY@304 F@1260.0 Strain@0.04710000000000001
2.3250 Motor1@0.0 Motor2@0.315 ImgX@372 ImgY@304 F@1260.0 Strain@0.0474
2.3587 Motor1@0.0 Motor2@0.309 ImgX@371 ImgY@304 F@1320.0 Strain@0.0475
2.3885 Motor1@0.0 Motor2@0.309 ImgX@371 ImgY@304 F@1320.0 Strain@0.0475
2.4197 Motor1@0.0 Motor2@0.303 ImgX@371 ImgY@304 F@1320.0 Strain@0.0481
2.4500 Motor1@0.0 Motor2@0.301 ImgX@371 ImgY@304 F@1320.0 Strain@0.048299999999999996
2.4841 Motor1@0.0 Motor2@0.296 ImgX@371 ImgY@304 F@1320.0 Strain@0.04880000000000001
2.5125 Motor1@0.0 Motor2@0.291 ImgX@371 ImgY@304 F@1320.0 Strain@0.0493
2.5447 Motor1@0.0 Motor2@0.290 ImgX@370 ImgY@304 F@1380.0 Strain@0.04890000000000001
2.6057 Motor1@0.0 Motor2@0.287 ImgX@369 ImgY@304 F@1440.0 Strain@0.0487
2.6384 Motor1@0.0 Motor2@0.282 ImgX@369 ImgY@304 F@1440.0 Strain@0.04920000000000001
2.6697 Motor1@0.0 Motor2@0.278 ImgX@369 ImgY@303 F@1440.0 Strain@0.0496
2.6990 Motor1@0.0 Motor2@0.278 ImgX@369 ImgY@303 F@1440.0 Strain@0.0496
2.7312 Motor1@0.0 Motor2@0.273 ImgX@369 ImgY@304 F@1440.0 Strain@0.0501
2.7634 Motor1@0.0 Motor2@0.271 ImgX@369 ImgY@304 F@1440.0 Strain@0.0503
2.7947 Motor1@0.0 Motor2@0.267 ImgX@368 ImgY@303 F@1500.0 Strain@0.0502
2.8254 Motor1@0.0 Motor2@0.262 ImgX@368 ImgY@303 F@1500.0 Strain@0.0507
2.8879 Motor1@0.0 Motor2@0.258 ImgX@367 ImgY@305 F@1560.0 Strain@0.0506
2.9197 Motor1@0.0 Motor2@0.254 ImgX@367 ImgY@303 F@1560.0 Strain@0.051000000000000004
2.9505 Motor1@0.0 Motor2@0.252 ImgX@367 ImgY@303 F@1560.0 Strain@0.0512
3.0149 Motor1@0.0 Motor2@0.245 ImgX@366 ImgY@304 F@1620.0 Strain@0.0514
3.0739 Motor1@0.0 Motor2@0.240 ImgX@366 ImgY@304 F@1620.0 Strain@0.0519
3.1082 Motor1@0.0 Motor2@0.235 ImgX@366 ImgY@304 F@1620.0 Strain@0.0524
3.1384 Motor1@0.0 Motor2@0.233 ImgX@365 ImgY@304 F@1680.0 Strain@0.0521
3.1712 Motor1@0.0 Motor2@0.231 ImgX@365 ImgY@304 F@1680.0 Strain@0.0523
3.2015 Motor1@0.0 Motor2@0.228 ImgX@365 ImgY@304 F@1680.0 Strain@0.0526
3.2337 Motor1@0.0 Motor2@0.222 ImgX@365 ImgY@304 F@1680.0 Strain@0.053200000000000004
3.2614 Motor1@0.0 Motor2@0.220 ImgX@363 ImgY@304 F@1800.0 Strain@0.0524
3.2932 Motor1@0.0 Motor2@0.218 ImgX@363 ImgY@304 F@1800.0 Strain@0.0526
3.3244 Motor1@0.0 Motor2@0.214 ImgX@363 ImgY@304 F@1800.0 Strain@0.053000000000000005
3.4207 Motor1@0.0 Motor2@0.206 ImgX@363 ImgY@304 F@1800.0 Strain@0.0538
3.4494 Motor1@0.0 Motor2@0.204 ImgX@362 ImgY@304 F@1860.0 Strain@0.053500000000000006
3.4827 Motor1@0.0 Motor2@0.201 ImgX@362 ImgY@304 F@1860.0 Strain@0.0538
3.5129 Motor1@0.0 Motor2@0.197 ImgX@362 ImgY@304 F@1860.0 Strain@0.054200000000000005
3.5447 Motor1@0.0 Motor2@0.193 ImgX@362 ImgY@304 F@1860.0 Strain@0.0546
3.5749 Motor1@0.0 Motor2@0.192 ImgX@361 ImgY@304 F@1920.0 Strain@0.05419999999999999
3.6091 Motor1@0.0 Motor2@0.187 ImgX@361 ImgY@304 F@1920.0 Strain@0.054700000000000006
3.6379 Motor1@0.0 Motor2@0.185 ImgX@361 ImgY@303 F@1920.0 Strain@0.054900000000000004
3.6687 Motor1@0.0 Motor2@0.183 ImgX@361 ImgY@303 F@1920.0 Strain@0.0551
3.6994 Motor1@0.0 Motor2@0.178 ImgX@360 ImgY@304 F@1980.0 Strain@0.055099999999999996
3.7313 Motor1@0.0 Motor2@0.175 ImgX@360 ImgY@304 F@1980.0 Strain@0.055400000000000005
3.7625 Motor1@0.0 Motor2@0.168 ImgX@359 ImgY@304 F@2040.0 Strain@0.0556
3.7953 Motor1@0.0 Motor2@0.161 ImgX@359 ImgY@304 F@2040.0 Strain@0.056299999999999996
3.8250 Motor1@0.0 Motor2@0.155 ImgX@358 ImgY@304 F@2100.0 Strain@0.056400000000000006
