2023-07-28-17:29:30.367054 Motor1@0.199925 Motor2@-4.93 ImgX@300 ImgY@277 F@4260.0 Strain@0.1243
2023-07-28-17:29:30.428894 Motor1@0.199925 Motor2@-4.93 ImgX@301 ImgY@277 F@4200.0 Strain@0.12479999999999998
2023-07-28-17:29:30.493715 Motor1@0.199925 Motor2@-4.93 ImgX@301 ImgY@277 F@4200.0 Strain@0.12479999999999998
2023-07-28-17:29:30.552098 Motor1@0.199925 Motor2@-4.93 ImgX@301 ImgY@277 F@4200.0 Strain@0.12479999999999998
2023-07-28-17:29:30.614929 Motor1@0.199925 Motor2@-4.93 ImgX@301 ImgY@277 F@4200.0 Strain@0.12479999999999998
2023-07-28-17:29:30.678759 Motor1@0.199925 Motor2@-4.93 ImgX@301 ImgY@277 F@4200.0 Strain@0.12479999999999998
2023-07-28-17:29:30.739596 Motor1@0.199925 Motor2@-4.93 ImgX@301 ImgY@277 F@4200.0 Strain@0.12479999999999998
2023-07-28-17:29:30.802433 Motor1@0.199925 Motor2@-4.93 ImgX@301 ImgY@277 F@4200.0 Strain@0.12479999999999998
2023-07-28-17:29:30.864267 Motor1@0.199925 Motor2@-4.93 ImgX@302 ImgY@277 F@4140.0 Strain@0.1253
2023-07-28-17:29:30.928095 Motor1@0.199925 Motor2@-4.93 ImgX@302 ImgY@277 F@4140.0 Strain@0.1253
2023-07-28-17:29:30.988621 Motor1@0.199925 Motor2@-4.931 ImgX@302 ImgY@277 F@4140.0 Strain@0.1254
2023-07-28-17:29:31.082315 Motor1@0.199925 Motor2@-4.931 ImgX@302 ImgY@277 F@4140.0 Strain@0.1254
2023-07-28-17:29:31.115227 Motor1@0.199925 Motor2@-4.931 ImgX@302 ImgY@277 F@4140.0 Strain@0.1254
2023-07-28-17:29:31.178357 Motor1@0.199925 Motor2@-4.931 ImgX@302 ImgY@277 F@4140.0 Strain@0.1254
2023-07-28-17:29:31.239195 Motor1@0.199925 Motor2@-4.931 ImgX@302 ImgY@277 F@4140.0 Strain@0.1254
2023-07-28-17:29:31.308011 Motor1@0.199925 Motor2@-4.931 ImgX@302 ImgY@277 F@4140.0 Strain@0.1254
2023-07-28-17:29:31.364859 Motor1@0.199925 Motor2@-4.931 ImgX@303 ImgY@277 F@4080.0 Strain@0.1259
2023-07-28-17:29:31.426698 Motor1@0.199925 Motor2@-4.931 ImgX@302 ImgY@277 F@4140.0 Strain@0.1254
2023-07-28-17:29:31.490038 Motor1@0.199925 Motor2@-4.931 ImgX@302 ImgY@277 F@4140.0 Strain@0.1254
